,num_tokens,num_chars,longest_message_toks,shortest_message_toks,longest_message_chars,shortest_message_chars
106514997,290173,1358844,85,1,275,0
1065933054,203742,958426,48,1,390,0
1065943606,27343,114753,63,1,240,0
106645063,26753,127612,52,1,254,0
1066894464,37048,155057,59,1,201,0
1066957059,86442,379569,48,1,384,0
1066968781,23049,98494,67,1,280,0
1067147149,1,0,1,1,0,0
1067147150,1592,6478,38,1,136,0
106742695,1044,3906,29,1,90,0
1067516720,954,3771,27,1,116,0
106770594,330997,1596313,105,1,270,0
1068018525,32181,138373,51,1,221,0
1068047497,70094,316826,54,1,206,0
1068087095,50799,228738,80,1,390,0
1068254159,994,4002,46,1,196,0
1068592333,940,4727,47,1,300,0
106890691,21104,97479,49,1,218,0
1069024568,7919,34509,50,1,186,0
1069068039,35842,172392,46,1,189,0
1069086271,37528,163748,52,1,211,0
1069107739,132181,575302,76,1,425,0
10695002,1,0,1,1,0,0
1069507621,593,2985,26,1,109,0
1070086380,22676,97182,53,1,190,0
1071090890,33031,141761,51,1,233,0
107167325,2619,10445,34,1,144,0
1072128441,166408,709166,65,1,402,0
1072135398,33919,146346,56,1,233,0
1072209225,4037,19922,35,1,175,0
10723642,1,0,1,1,0,0
107303325,255447,1167120,63,1,162,0
1073205994,79051,347512,40,1,216,0
10736751,1,0,1,1,0,0
107379318,27624,113233,46,1,154,0
1073830404,9531,47175,40,1,198,0
1074236220,111081,492209,43,1,345,0
1074247405,15793,68964,60,1,250,0
1074432838,1253,5237,28,1,220,0
1074750665,970,4223,37,1,181,0
107506782,207740,933379,72,1,180,0
1075228552,48427,205000,68,1,261,0
1075266862,165575,744779,63,1,375,0
1075431974,1,0,1,1,0,0
1075431975,1231,5149,44,1,144,0
1075776707,787,3092,69,1,204,0
107579788,50966,207384,46,1,164,0
1076202675,76334,331192,53,1,207,0
1076240540,113119,502434,41,1,260,0
1076640092,766,3101,42,1,170,0
1077159801,51279,219068,53,1,209,0
107726574,277,1205,26,1,101,0
107727121,63426,283538,40,1,140,0
107751031,34942,141627,46,1,163,0
1078178383,27920,118759,65,1,225,0
1079184101,56778,251148,62,1,270,0
1079192931,45761,200682,91,1,338,0
107934604,29,130,6,1,29,0
107934670,84921,375272,42,1,164,0
107974046,24243,98803,35,1,152,0
1080208276,87141,392261,74,1,405,0
1080219446,17201,74102,49,1,205,0
10805363,1,0,1,1,0,0
1081248804,120537,523944,59,1,413,0
1081259834,28751,126518,69,1,233,0
1081443642,1,0,1,1,0,0
1081443643,2906,11539,35,1,181,0
1081819706,990,3924,47,1,156,0
1082262849,49397,210852,86,1,353,0
1082298332,73958,325135,41,1,167,0
108237200,60,212,15,1,61,0
108237235,61571,272542,63,1,174,0
1082461362,1,0,1,1,0,0
1082461671,1144,4605,56,1,181,0
108265896,4638,18691,52,1,198,0
1082802158,454,1973,21,1,90,0
1083233689,91060,401875,80,1,402,0
1083272047,104965,467774,48,1,352,0
1083663800,497,2600,25,1,108,0
1084209649,60555,262802,97,1,403,0
1085226361,39248,168280,111,1,401,0
1086257859,51829,220752,60,1,209,0
108694883,809,3200,30,1,115,0
1087283761,134340,594555,90,1,350,0
1087295289,31305,137471,73,1,277,0
1088309497,42747,189966,36,1,285,0
1088319673,36847,156331,100,1,383,0
1088487007,721,6105,36,1,306,0
1088853613,269,2294,27,1,150,0
1089312780,50103,216523,92,1,388,0
1089351299,216063,951104,62,1,436,0
1089513133,1,0,1,1,0,0
1089513134,567,5085,18,1,180,0
1089850310,219,1523,24,1,181,0
1090293876,80762,356195,99,1,371,0
1090331306,56333,245034,60,1,390,0
1090715118,390,3304,17,1,153,0
109124324,336,1326,21,1,74,0
1091286262,39335,164519,95,1,274,0
1092300159,28491,123773,60,1,255,0
1093349099,57363,250253,78,1,315,0
1094397942,191555,896480,60,1,445,0
1094408983,24130,101698,67,1,262,0
1095427108,71096,319311,37,1,178,0
1095438120,57671,244381,81,1,292,0
1095627879,1,0,1,1,0,0
1095627880,406,2856,18,1,107,0
1096004047,170,1266,16,1,128,0
1096435795,46782,198225,72,1,320,0
1096475123,128610,585646,50,1,465,0
1096638622,353,2526,18,1,180,0
1096975888,230,1750,26,1,154,0
1097438282,825,3962,33,1,141,0
1097467819,89533,411169,60,1,255,0
1097486608,19350,80170,83,1,296,0
10978553,1,0,1,1,0,0
1097868820,275,1982,19,1,179,0
10979041,1,0,1,1,0,0
10990309,1,0,1,1,0,0
10990676,1,0,1,1,0,0
10992414,1,0,1,1,0,0
1099398490,75154,321924,63,1,240,0
109953954,1805,6945,32,1,120,0
1100515090,38327,166898,65,1,282,0
11015094,1,0,1,1,0,0
1101562980,89660,434062,50,1,475,0
1101573601,39384,167768,65,1,207,0
1102596098,92139,411329,46,1,456,0
1102606826,24815,104771,63,1,203,0
1102796367,529,4013,35,1,240,0
1103164240,227,1524,18,1,171,0
1103583368,63402,272493,63,1,228,0
1103654549,125056,555166,75,1,390,0
1103817140,391,3591,26,1,285,0
11038222,1,0,1,1,0,0
11038299,1,0,1,1,0,0
110417631,1488,6017,24,1,95,0
1104179792,138,1036,11,1,73,0
1104650105,81700,372300,47,1,384,0
1104663109,26334,110844,63,1,216,0
1104815162,315,2258,18,1,108,0
1105164483,158,1282,18,1,166,0
1105627847,51462,224032,65,1,254,0
1106643961,54311,233129,65,1,255,0
1107674505,40730,172538,65,1,300,0
11078957,1,0,1,1,0,0
1108667472,64880,286343,60,1,234,0
1108700635,69,336,11,1,53,0
1108701626,35811,167395,44,1,200,0
1108764940,30133,132332,38,1,151,0
110904445,1766,7097,40,1,121,0
1109727514,173334,814052,100,1,443,0
1109738355,16883,74274,50,1,199,0
1110821773,71955,312689,40,1,324,0
1110833370,57878,252461,54,1,255,0
1111296396,428,3020,24,1,169,0
1111838676,152389,693323,76,1,459,0
1111850073,70819,310820,68,1,269,0
1112241168,536,4651,26,1,192,0
11155227,1,0,1,1,0,0
1115852411,77818,338674,43,1,370,0
1115852655,1006,4231,22,1,77,0
1115866561,76339,333134,89,1,403,0
1115898498,1688,6804,33,1,137,0
1116351230,416,3097,19,1,126,0
1116862814,69516,300633,48,1,336,0
1116873646,19687,87191,58,1,219,0
1117058147,1,0,1,1,0,0
1117058148,726,6084,27,1,192,0
1117419142,130,1278,15,1,204,0
11177049,1,0,1,1,0,0
11177830,1,0,1,1,0,0
1117904242,77427,347255,44,1,255,0
1117915753,92414,406218,72,1,330,0
1118064782,733,5624,28,1,154,0
11182727,1,0,1,1,0,0
1118349688,347,2683,28,1,140,0
1118890599,138929,600337,50,1,328,0
1118902108,28488,122485,57,1,229,0
1119051611,483,3942,12,1,176,0
111910071,1107,4454,22,1,83,0
1119357517,368,2944,24,1,181,0
11195741,1,0,1,1,0,0
11203279,1,0,1,1,0,0
1121853616,88252,382686,45,1,280,0
1122864123,5145,21383,81,1,290,0
1122868886,161662,773289,108,1,434,0
1122876912,163832,766287,105,1,412,0
1123388408,309,2179,17,1,96,0
112387297,1439,5827,24,1,101,0
1123894166,91522,396235,72,1,220,0
1124078090,1,0,1,1,0,0
1124078116,496,3829,30,1,165,0
11241368,1,0,1,1,0,0
1124451877,270,2000,27,1,139,0
1124913841,106499,477534,62,1,432,0
1124925243,83098,353633,84,1,296,0
1125076816,1,0,1,1,0,0
1125076817,440,3752,17,1,255,0
1125368587,397,3256,20,1,220,0
1125910858,329568,1649884,109,1,464,0
1125922446,79077,342252,96,1,282,0
1126069567,1,0,1,1,0,0
1126069568,1531,11396,24,1,220,0
1126417191,396,3382,27,1,146,0
1129853487,1978,8155,77,1,301,0
1129868582,73002,314891,70,1,313,0
1130868866,97660,430074,75,1,300,0
113165254,1550,6089,32,1,110,0
1131865761,2645,18728,34,1,210,0
